                    JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror
 40813.998,   1,  0.17355999E+12,   0.00000000E+00,  -0.18197070E+12,   0.00000000E+00,   0.00000000E+00,   0.64918679E+10,   0.19364103E+10,   0.00000000E+00,   0.31487200E-07,
 40815.000,   1,  0.17384399E+12,   0.00000000E+00,  -0.18228046E+12,   0.00000000E+00,   0.00000000E+00,   0.65150172E+10,   0.19379275E+10,   0.00000000E+00,   0.40628744E-07,
 40815.998,   1,  0.17411798E+12,   0.00000000E+00,  -0.18258321E+12,   0.00000000E+00,   0.00000000E+00,   0.65413923E+10,   0.19394689E+10,   0.00000000E+00,   0.43569659E-07,
 40816.999,   1,  0.17437404E+12,   0.00000000E+00,  -0.18287044E+12,   0.00000000E+00,   0.00000000E+00,   0.65695343E+10,   0.19411444E+10,   0.00000000E+00,   0.40926360E-07,
 40817.998,   1,  0.17460776E+12,   0.00000000E+00,  -0.18312038E+12,   0.00000000E+00,   0.00000000E+00,   0.65832789E+10,   0.19428815E+10,   0.00000000E+00,   0.45784849E-07,
 40818.998,   1,  0.17482638E+12,   0.00000000E+00,  -0.18334439E+12,   0.00000000E+00,   0.00000000E+00,   0.65877252E+10,   0.19445211E+10,   0.00000000E+00,   0.56695344E-07,
 40819.999,   1,  0.17504580E+12,   0.00000000E+00,  -0.18359162E+12,   0.00000000E+00,   0.00000000E+00,   0.66134535E+10,   0.19461725E+10,   0.00000000E+00,   0.69131138E-07,
 40821.000,   1,  0.17527599E+12,   0.00000000E+00,  -0.18386079E+12,   0.00000000E+00,   0.00000000E+00,   0.66502282E+10,   0.19480436E+10,   0.00000000E+00,   0.70936578E-07,
 40821.999,   1,  0.17553275E+12,   0.00000000E+00,  -0.18415411E+12,   0.00000000E+00,   0.00000000E+00,   0.66865815E+10,   0.19500619E+10,   0.00000000E+00,   0.62055052E-07,
 40822.998,   1,  0.17582121E+12,   0.00000000E+00,  -0.18447597E+12,   0.00000000E+00,   0.00000000E+00,   0.67185880E+10,   0.19521048E+10,   0.00000000E+00,   0.63223081E-07,
 40823.999,   1,  0.17610727E+12,   0.00000000E+00,  -0.18478014E+12,   0.00000000E+00,   0.00000000E+00,   0.67328220E+10,   0.19542578E+10,   0.00000000E+00,   0.71682484E-07,
 40824.999,   1,  0.17636191E+12,   0.00000000E+00,  -0.18505067E+12,   0.00000000E+00,   0.00000000E+00,   0.67460743E+10,   0.19565209E+10,   0.00000000E+00,   0.76204973E-07,
 40825.999,   1,  0.17660409E+12,   0.00000000E+00,  -0.18532193E+12,   0.00000000E+00,   0.00000000E+00,   0.67736588E+10,   0.19589063E+10,   0.00000000E+00,   0.63396691E-07,
 40826.998,   1,  0.17686507E+12,   0.00000000E+00,  -0.18563285E+12,   0.00000000E+00,   0.00000000E+00,   0.68230745E+10,   0.19613773E+10,   0.00000000E+00,   0.66025765E-07,
 40827.999,   1,  0.17714004E+12,   0.00000000E+00,  -0.18595240E+12,   0.00000000E+00,   0.00000000E+00,   0.68652231E+10,   0.19639337E+10,   0.00000000E+00,   0.65581402E-07,
 40829.000,   1,  0.17740930E+12,   0.00000000E+00,  -0.18624125E+12,   0.00000000E+00,   0.00000000E+00,   0.68771444E+10,   0.19669178E+10,   0.00000000E+00,   0.96000381E-07,
 40829.999,   1,  0.17766982E+12,   0.00000000E+00,  -0.18653291E+12,   0.00000000E+00,   0.00000000E+00,   0.68995702E+10,   0.19702938E+10,   0.00000000E+00,   0.17654519E-06,
 40831.000,   1,  0.17796370E+12,   0.00000000E+00,  -0.18686735E+12,   0.00000000E+00,   0.00000000E+00,   0.69411208E+10,   0.19736087E+10,   0.00000000E+00,   0.12190170E-06,
 40831.999,   1,  0.17827749E+12,   0.00000000E+00,  -0.18722074E+12,   0.00000000E+00,   0.00000000E+00,   0.69804659E+10,   0.19766304E+10,   0.00000000E+00,   0.10382416E-06,
 40832.999,   1,  0.17859770E+12,   0.00000000E+00,  -0.18756640E+12,   0.00000000E+00,   0.00000000E+00,   0.70031486E+10,   0.19796028E+10,   0.00000000E+00,   0.91389914E-07,
 40833.999,   1,  0.17892072E+12,   0.00000000E+00,  -0.18791128E+12,   0.00000000E+00,   0.00000000E+00,   0.70253911E+10,   0.19826122E+10,   0.00000000E+00,   0.84393566E-07,
 40835.000,   1,  0.17921786E+12,   0.00000000E+00,  -0.18824426E+12,   0.00000000E+00,   0.00000000E+00,   0.70566223E+10,   0.19854873E+10,   0.00000000E+00,   0.10068653E-06,
 40835.999,   1,  0.17948722E+12,   0.00000000E+00,  -0.18854098E+12,   0.00000000E+00,   0.00000000E+00,   0.70793986E+10,   0.19882643E+10,   0.00000000E+00,   0.10802310E-06,
 40836.999,   1,  0.17975185E+12,   0.00000000E+00,  -0.18882958E+12,   0.00000000E+00,   0.00000000E+00,   0.71015028E+10,   0.19912972E+10,   0.00000000E+00,   0.10346753E-06,
 40838.000,   1,  0.18003627E+12,   0.00000000E+00,  -0.18914537E+12,   0.00000000E+00,   0.00000000E+00,   0.71306693E+10,   0.19949785E+10,   0.00000000E+00,   0.10317675E-06,
 40838.999,   1,  0.18032062E+12,   0.00000000E+00,  -0.18945945E+12,   0.00000000E+00,   0.00000000E+00,   0.71554029E+10,   0.19987589E+10,   0.00000000E+00,   0.99959885E-07,
 40839.999,   1,  0.18058156E+12,   0.00000000E+00,  -0.18973642E+12,   0.00000000E+00,   0.00000000E+00,   0.71658437E+10,   0.20022578E+10,   0.00000000E+00,   0.11357976E-06,
 40840.999,   1,  0.18083051E+12,   0.00000000E+00,  -0.19001264E+12,   0.00000000E+00,   0.00000000E+00,   0.71881692E+10,   0.20056711E+10,   0.00000000E+00,   0.12100524E-06,
 40841.999,   1,  0.18109398E+12,   0.00000000E+00,  -0.19032176E+12,   0.00000000E+00,   0.00000000E+00,   0.72314411E+10,   0.20089618E+10,   0.00000000E+00,   0.13227605E-06,
 40842.999,   1,  0.18134761E+12,   0.00000000E+00,  -0.19060939E+12,   0.00000000E+00,   0.00000000E+00,   0.72622282E+10,   0.20121422E+10,   0.00000000E+00,   0.15068988E-06,
 40844.000,   1,  0.18161481E+12,   0.00000000E+00,  -0.19091420E+12,   0.00000000E+00,   0.00000000E+00,   0.72973113E+10,   0.20153105E+10,   0.00000000E+00,   0.14279744E-06,
 40844.999,   1,  0.18194493E+12,   0.00000000E+00,  -0.19127891E+12,   0.00000000E+00,   0.00000000E+00,   0.73341527E+10,   0.20185401E+10,   0.00000000E+00,   0.93931048E-07,
 40845.998,   1,  0.18227446E+12,   0.00000000E+00,  -0.19163279E+12,   0.00000000E+00,   0.00000000E+00,   0.73574129E+10,   0.20218431E+10,   0.00000000E+00,   0.77311154E-07,
 40846.998,   1,  0.18255031E+12,   0.00000000E+00,  -0.19192507E+12,   0.00000000E+00,   0.00000000E+00,   0.73665554E+10,   0.20252070E+10,   0.00000000E+00,   0.95370960E-07,
 40848.000,   1,  0.18280943E+12,   0.00000000E+00,  -0.19219726E+12,   0.00000000E+00,   0.00000000E+00,   0.73742682E+10,   0.20287177E+10,   0.00000000E+00,   0.11130162E-06,
 40849.000,   1,  0.18309166E+12,   0.00000000E+00,  -0.19252345E+12,   0.00000000E+00,   0.00000000E+00,   0.74168712E+10,   0.20323387E+10,   0.00000000E+00,   0.10562168E-06,
 40850.000,   1,  0.18338667E+12,   0.00000000E+00,  -0.19287219E+12,   0.00000000E+00,   0.00000000E+00,   0.74651960E+10,   0.20359351E+10,   0.00000000E+00,   0.13182200E-06,
 40850.999,   1,  0.18369169E+12,   0.00000000E+00,  -0.19320363E+12,   0.00000000E+00,   0.00000000E+00,   0.74875442E+10,   0.20395561E+10,   0.00000000E+00,   0.13260321E-06,
 40852.000,   1,  0.18399355E+12,   0.00000000E+00,  -0.19352923E+12,   0.00000000E+00,   0.00000000E+00,   0.75053604E+10,   0.20433725E+10,   0.00000000E+00,   0.13950292E-06,
 40853.000,   1,  0.18427018E+12,   0.00000000E+00,  -0.19384021E+12,   0.00000000E+00,   0.00000000E+00,   0.75302908E+10,   0.20473236E+10,   0.00000000E+00,   0.24033674E-06,
 40854.000,   1,  0.18454777E+12,   0.00000000E+00,  -0.19415115E+12,   0.00000000E+00,   0.00000000E+00,   0.75600504E+10,   0.20512626E+10,   0.00000000E+00,   0.24840230E-06,
 40854.998,   1,  0.18482664E+12,   0.00000000E+00,  -0.19446455E+12,   0.00000000E+00,   0.00000000E+00,   0.75913081E+10,   0.20551895E+10,   0.00000000E+00,   0.22422872E-06,
 40855.999,   1,  0.18512731E+12,   0.00000000E+00,  -0.19480270E+12,   0.00000000E+00,   0.00000000E+00,   0.76275836E+10,   0.20591043E+10,   0.00000000E+00,   0.16127230E-06,
 40856.998,   1,  0.18542566E+12,   0.00000000E+00,  -0.19513555E+12,   0.00000000E+00,   0.00000000E+00,   0.76544034E+10,   0.20630066E+10,   0.00000000E+00,   0.23439019E-06,
 40857.998,   1,  0.18570624E+12,   0.00000000E+00,  -0.19543937E+12,   0.00000000E+00,   0.00000000E+00,   0.76690575E+10,   0.20668963E+10,   0.00000000E+00,   0.59149184E-06,
 40858.998,   1,  0.18600939E+12,   0.00000000E+00,  -0.19576367E+12,   0.00000000E+00,   0.00000000E+00,   0.76925595E+10,   0.20708106E+10,   0.00000000E+00,   0.17803523E-06,
 40859.999,   1,  0.18631248E+12,   0.00000000E+00,  -0.19608644E+12,   0.00000000E+00,   0.00000000E+00,   0.77117602E+10,   0.20747496E+10,   0.00000000E+00,   0.12511320E-06,
 40860.999,   1,  0.18659266E+12,   0.00000000E+00,  -0.19638531E+12,   0.00000000E+00,   0.00000000E+00,   0.77251253E+10,   0.20787131E+10,   0.00000000E+00,   0.12914202E-06,
 40861.999,   1,  0.18687526E+12,   0.00000000E+00,  -0.19670136E+12,   0.00000000E+00,   0.00000000E+00,   0.77541956E+10,   0.20827134E+10,   0.00000000E+00,   0.14210381E-06,
 40863.000,   1,  0.18716609E+12,   0.00000000E+00,  -0.19702589E+12,   0.00000000E+00,   0.00000000E+00,   0.77836427E+10,   0.20867138E+10,   0.00000000E+00,   0.13726177E-06,
 40863.999,   1,  0.18746803E+12,   0.00000000E+00,  -0.19736030E+12,   0.00000000E+00,   0.00000000E+00,   0.78168975E+10,   0.20906408E+10,   0.00000000E+00,   0.94826230E-07,
 40864.999,   1,  0.18780536E+12,   0.00000000E+00,  -0.19772928E+12,   0.00000000E+00,   0.00000000E+00,   0.78524256E+10,   0.20944576E+10,   0.00000000E+00,   0.68609743E-07,
 40865.998,   1,  0.18813520E+12,   0.00000000E+00,  -0.19808246E+12,   0.00000000E+00,   0.00000000E+00,   0.78688611E+10,   0.20984942E+10,   0.00000000E+00,   0.76477015E-07,
 40866.999,   1,  0.18843283E+12,   0.00000000E+00,  -0.19841090E+12,   0.00000000E+00,   0.00000000E+00,   0.78839283E+10,   0.21028245E+10,   0.00000000E+00,   0.20004346E-06,
 40868.000,   1,  0.18873560E+12,   0.00000000E+00,  -0.19875544E+12,   0.00000000E+00,   0.00000000E+00,   0.79205381E+10,   0.21070937E+10,   0.00000000E+00,   0.21760484E-06,
 40869.000,   1,  0.18906135E+12,   0.00000000E+00,  -0.19911647E+12,   0.00000000E+00,   0.00000000E+00,   0.79594462E+10,   0.21112284E+10,   0.00000000E+00,   0.98840714E-07,
 40869.999,   1,  0.18939424E+12,   0.00000000E+00,  -0.19947585E+12,   0.00000000E+00,   0.00000000E+00,   0.79824318E+10,   0.21153997E+10,   0.00000000E+00,   0.89946104E-07,
 40870.999,   1,  0.18970859E+12,   0.00000000E+00,  -0.19981830E+12,   0.00000000E+00,   0.00000000E+00,   0.80016235E+10,   0.21201940E+10,   0.00000000E+00,   0.12692694E-06,
 40871.999,   1,  0.19000744E+12,   0.00000000E+00,  -0.20014688E+12,   0.00000000E+00,   0.00000000E+00,   0.80248189E+10,   0.21256741E+10,   0.00000000E+00,   0.14086227E-06,
 40873.000,   1,  0.19030860E+12,   0.00000000E+00,  -0.20047563E+12,   0.00000000E+00,   0.00000000E+00,   0.80501680E+10,   0.21311668E+10,   0.00000000E+00,   0.11388446E-06,
 40873.999,   1,  0.19061973E+12,   0.00000000E+00,  -0.20081780E+12,   0.00000000E+00,   0.00000000E+00,   0.80770660E+10,   0.21364391E+10,   0.00000000E+00,   0.11067965E-06,
 40875.000,   1,  0.19090276E+12,   0.00000000E+00,  -0.20113769E+12,   0.00000000E+00,   0.00000000E+00,   0.81020269E+10,   0.21415523E+10,   0.00000000E+00,   0.19096447E-06,
 40875.998,   1,  0.19116390E+12,   0.00000000E+00,  -0.20143436E+12,   0.00000000E+00,   0.00000000E+00,   0.81293272E+10,   0.21465433E+10,   0.00000000E+00,   0.28891247E-06,
 40876.999,   1,  0.19146349E+12,   0.00000000E+00,  -0.20176510E+12,   0.00000000E+00,   0.00000000E+00,   0.81607283E+10,   0.21512655E+10,   0.00000000E+00,   0.14409735E-06,
 40877.999,   1,  0.19179929E+12,   0.00000000E+00,  -0.20213198E+12,   0.00000000E+00,   0.00000000E+00,   0.81900409E+10,   0.21555715E+10,   0.00000000E+00,   0.12556409E-06,
 40878.999,   1,  0.19212331E+12,   0.00000000E+00,  -0.20249290E+12,   0.00000000E+00,   0.00000000E+00,   0.82194746E+10,   0.21595474E+10,   0.00000000E+00,   0.17993075E-06,
 40879.998,   1,  0.19242889E+12,   0.00000000E+00,  -0.20282754E+12,   0.00000000E+00,   0.00000000E+00,   0.82438521E+10,   0.21633154E+10,   0.00000000E+00,   0.18848757E-06,
 40880.999,   1,  0.19273362E+12,   0.00000000E+00,  -0.20315904E+12,   0.00000000E+00,   0.00000000E+00,   0.82701230E+10,   0.21669245E+10,   0.00000000E+00,   0.17110942E-06,
 40881.999,   1,  0.19302014E+12,   0.00000000E+00,  -0.20348498E+12,   0.00000000E+00,   0.00000000E+00,   0.83053841E+10,   0.21706553E+10,   0.00000000E+00,   0.19349165E-06,
 40882.999,   1,  0.19329925E+12,   0.00000000E+00,  -0.20380785E+12,   0.00000000E+00,   0.00000000E+00,   0.83445056E+10,   0.21748263E+10,   0.00000000E+00,   0.19644318E-06,
 40883.999,   1,  0.19361003E+12,   0.00000000E+00,  -0.20415483E+12,   0.00000000E+00,   0.00000000E+00,   0.83767731E+10,   0.21792181E+10,   0.00000000E+00,   0.17366431E-06,
 40884.999,   1,  0.19396169E+12,   0.00000000E+00,  -0.20453192E+12,   0.00000000E+00,   0.00000000E+00,   0.84022911E+10,   0.21836218E+10,   0.00000000E+00,   0.11689999E-06,
 40885.999,   1,  0.19431982E+12,   0.00000000E+00,  -0.20491300E+12,   0.00000000E+00,   0.00000000E+00,   0.84235597E+10,   0.21880498E+10,   0.00000000E+00,   0.94769080E-07,
 40887.000,   1,  0.19466245E+12,   0.00000000E+00,  -0.20528765E+12,   0.00000000E+00,   0.00000000E+00,   0.84498558E+10,   0.21924537E+10,   0.00000000E+00,   0.96871699E-07,
 40887.999,   1,  0.19501278E+12,   0.00000000E+00,  -0.20567758E+12,   0.00000000E+00,   0.00000000E+00,   0.84861897E+10,   0.21968087E+10,   0.00000000E+00,   0.98444611E-07,
 40888.999,   1,  0.19536851E+12,   0.00000000E+00,  -0.20606698E+12,   0.00000000E+00,   0.00000000E+00,   0.85131214E+10,   0.22011391E+10,   0.00000000E+00,   0.10252612E-06,
 40890.000,   1,  0.19569942E+12,   0.00000000E+00,  -0.20643231E+12,   0.00000000E+00,   0.00000000E+00,   0.85417372E+10,   0.22054695E+10,   0.00000000E+00,   0.10492639E-06,
 40891.000,   1,  0.19601845E+12,   0.00000000E+00,  -0.20678467E+12,   0.00000000E+00,   0.00000000E+00,   0.85712081E+10,   0.22097998E+10,   0.00000000E+00,   0.10247558E-06,
 40891.999,   1,  0.19636493E+12,   0.00000000E+00,  -0.20716203E+12,   0.00000000E+00,   0.00000000E+00,   0.86016918E+10,   0.22139960E+10,   0.00000000E+00,   0.82181546E-07,
 40892.999,   1,  0.19673142E+12,   0.00000000E+00,  -0.20755980E+12,   0.00000000E+00,   0.00000000E+00,   0.86311267E+10,   0.22180452E+10,   0.00000000E+00,   0.78814594E-07,
 40894.000,   1,  0.19705916E+12,   0.00000000E+00,  -0.20791403E+12,   0.00000000E+00,   0.00000000E+00,   0.86468948E+10,   0.22220210E+10,   0.00000000E+00,   0.12208418E-06,
 40894.999,   1,  0.19734458E+12,   0.00000000E+00,  -0.20823963E+12,   0.00000000E+00,   0.00000000E+00,   0.86792463E+10,   0.22258745E+10,   0.00000000E+00,   0.17217741E-06,
 40895.998,   1,  0.19760621E+12,   0.00000000E+00,  -0.20854165E+12,   0.00000000E+00,   0.00000000E+00,   0.87124333E+10,   0.22296545E+10,   0.00000000E+00,   0.28314726E-06,
 40896.999,   1,  0.19786871E+12,   0.00000000E+00,  -0.20883505E+12,   0.00000000E+00,   0.00000000E+00,   0.87395398E+10,   0.22334104E+10,   0.00000000E+00,   0.27179594E-06,
 40898.000,   1,  0.19816677E+12,   0.00000000E+00,  -0.20916784E+12,   0.00000000E+00,   0.00000000E+00,   0.87757181E+10,   0.22371295E+10,   0.00000000E+00,   0.15654130E-06,
 40899.000,   1,  0.19846835E+12,   0.00000000E+00,  -0.20949915E+12,   0.00000000E+00,   0.00000000E+00,   0.88027121E+10,   0.22408360E+10,   0.00000000E+00,   0.14678105E-06,
 40900.000,   1,  0.19875272E+12,   0.00000000E+00,  -0.20981371E+12,   0.00000000E+00,   0.00000000E+00,   0.88251695E+10,   0.22445060E+10,   0.00000000E+00,   0.21133853E-06,
 40900.999,   1,  0.19905294E+12,   0.00000000E+00,  -0.21013301E+12,   0.00000000E+00,   0.00000000E+00,   0.88434128E+10,   0.22480050E+10,   0.00000000E+00,   0.16839124E-06,
 40901.999,   1,  0.19934807E+12,   0.00000000E+00,  -0.21044431E+12,   0.00000000E+00,   0.00000000E+00,   0.88571782E+10,   0.22513082E+10,   0.00000000E+00,   0.16263666E-06,
 40902.999,   1,  0.19962229E+12,   0.00000000E+00,  -0.21073980E+12,   0.00000000E+00,   0.00000000E+00,   0.88724206E+10,   0.22545865E+10,   0.00000000E+00,   0.20736577E-06,
 40903.999,   1,  0.19992926E+12,   0.00000000E+00,  -0.21106767E+12,   0.00000000E+00,   0.00000000E+00,   0.88964920E+10,   0.22580725E+10,   0.00000000E+00,   0.11005637E-06,
 40905.000,   1,  0.20027474E+12,   0.00000000E+00,  -0.21144757E+12,   0.00000000E+00,   0.00000000E+00,   0.89330103E+10,   0.22617789E+10,   0.00000000E+00,   0.87548366E-07,
 40906.000,   1,  0.20060502E+12,   0.00000000E+00,  -0.21181169E+12,   0.00000000E+00,   0.00000000E+00,   0.89595675E+10,   0.22658889E+10,   0.00000000E+00,   0.90760110E-07,
 40906.998,   1,  0.20090574E+12,   0.00000000E+00,  -0.21213560E+12,   0.00000000E+00,   0.00000000E+00,   0.89671476E+10,   0.22728088E+10,   0.00000000E+00,   0.16590964E-06,
 40908.000,   1,  0.20120146E+12,   0.00000000E+00,  -0.21245674E+12,   0.00000000E+00,   0.00000000E+00,   0.89807343E+10,   0.22841088E+10,   0.00000000E+00,   0.18678382E-06,
 40908.999,   1,  0.20150934E+12,   0.00000000E+00,  -0.21279454E+12,   0.00000000E+00,   0.00000000E+00,   0.90024703E+10,   0.22987858E+10,   0.00000000E+00,   0.11903238E-06,
 40909.999,   1,  0.20182308E+12,   0.00000000E+00,  -0.21315751E+12,   0.00000000E+00,   0.00000000E+00,   0.90392885E+10,   0.23131252E+10,   0.00000000E+00,   0.97401471E-07,
 40910.999,   1,  0.20211140E+12,   0.00000000E+00,  -0.21348852E+12,   0.00000000E+00,   0.00000000E+00,   0.90685721E+10,   0.23246260E+10,   0.00000000E+00,   0.11080710E-06,
 40911.999,   1,  0.20238751E+12,   0.00000000E+00,  -0.21379774E+12,   0.00000000E+00,   0.00000000E+00,   0.90914019E+10,   0.23343038E+10,   0.00000000E+00,   0.12454090E-06,
 40912.999,   1,  0.20270094E+12,   0.00000000E+00,  -0.21416790E+12,   0.00000000E+00,   0.00000000E+00,   0.91407626E+10,   0.23428186E+10,   0.00000000E+00,   0.10590061E-06,
 40913.998,   1,  0.20304593E+12,   0.00000000E+00,  -0.21454058E+12,   0.00000000E+00,   0.00000000E+00,   0.91612722E+10,   0.23504895E+10,   0.00000000E+00,   0.10474848E-06,
 40915.000,   1,  0.20339718E+12,   0.00000000E+00,  -0.21490703E+12,   0.00000000E+00,   0.00000000E+00,   0.91700525E+10,   0.23572303E+10,   0.00000000E+00,   0.10817154E-06,
 40915.999,   1,  0.20372254E+12,   0.00000000E+00,  -0.21525623E+12,   0.00000000E+00,   0.00000000E+00,   0.91863560E+10,   0.23631635E+10,   0.00000000E+00,   0.12464420E-06,
 40916.999,   1,  0.20399485E+12,   0.00000000E+00,  -0.21555467E+12,   0.00000000E+00,   0.00000000E+00,   0.92042825E+10,   0.23685220E+10,   0.00000000E+00,   0.16742980E-06,
 40918.000,   1,  0.20426190E+12,   0.00000000E+00,  -0.21587068E+12,   0.00000000E+00,   0.00000000E+00,   0.92487260E+10,   0.23737576E+10,   0.00000000E+00,   0.17092298E-06,
 40918.999,   1,  0.20455565E+12,   0.00000000E+00,  -0.21620884E+12,   0.00000000E+00,   0.00000000E+00,   0.92875192E+10,   0.23789811E+10,   0.00000000E+00,   0.18324871E-06,
 40919.999,   1,  0.20487982E+12,   0.00000000E+00,  -0.21657066E+12,   0.00000000E+00,   0.00000000E+00,   0.93213092E+10,   0.23839235E+10,   0.00000000E+00,   0.17959113E-06,
 40921.000,   1,  0.20520809E+12,   0.00000000E+00,  -0.21692435E+12,   0.00000000E+00,   0.00000000E+00,   0.93435974E+10,   0.23887311E+10,   0.00000000E+00,   0.16324911E-06,
 40922.000,   1,  0.20553302E+12,   0.00000000E+00,  -0.21727147E+12,   0.00000000E+00,   0.00000000E+00,   0.93611714E+10,   0.23935510E+10,   0.00000000E+00,   0.14568914E-06,
 40922.998,   1,  0.20586388E+12,   0.00000000E+00,  -0.21762292E+12,   0.00000000E+00,   0.00000000E+00,   0.93769914E+10,   0.23983341E+10,   0.00000000E+00,   0.13037624E-06,
 40923.999,   1,  0.20618680E+12,   0.00000000E+00,  -0.21796812E+12,   0.00000000E+00,   0.00000000E+00,   0.93941985E+10,   0.24030197E+10,   0.00000000E+00,   0.12751748E-06,
 40925.000,   1,  0.20653410E+12,   0.00000000E+00,  -0.21835716E+12,   0.00000000E+00,   0.00000000E+00,   0.94321777E+10,   0.24075705E+10,   0.00000000E+00,   0.11789390E-06,
 40926.000,   1,  0.20690568E+12,   0.00000000E+00,  -0.21876466E+12,   0.00000000E+00,   0.00000000E+00,   0.94633434E+10,   0.24120845E+10,   0.00000000E+00,   0.11817718E-06,
 40926.999,   1,  0.20727787E+12,   0.00000000E+00,  -0.21918396E+12,   0.00000000E+00,   0.00000000E+00,   0.95060912E+10,   0.24168305E+10,   0.00000000E+00,   0.10648276E-06,
 40927.999,   1,  0.20766764E+12,   0.00000000E+00,  -0.21962414E+12,   0.00000000E+00,   0.00000000E+00,   0.95537372E+10,   0.24231408E+10,   0.00000000E+00,   0.91216438E-07,
 40928.999,   1,  0.20806927E+12,   0.00000000E+00,  -0.22007034E+12,   0.00000000E+00,   0.00000000E+00,   0.95904222E+10,   0.24350378E+10,   0.00000000E+00,   0.82985103E-07,
 40930.000,   1,  0.20844468E+12,   0.00000000E+00,  -0.22049018E+12,   0.00000000E+00,   0.00000000E+00,   0.96174492E+10,   0.24516739E+10,   0.00000000E+00,   0.99803693E-07,
 40930.999,   1,  0.20877914E+12,   0.00000000E+00,  -0.22085780E+12,   0.00000000E+00,   0.00000000E+00,   0.96260747E+10,   0.24678227E+10,   0.00000000E+00,   0.15463260E-06,
 40932.000,   1,  0.20910949E+12,   0.00000000E+00,  -0.22123166E+12,   0.00000000E+00,   0.00000000E+00,   0.96531123E+10,   0.24818066E+10,   0.00000000E+00,   0.19346356E-06,
 40932.999,   1,  0.20945909E+12,   0.00000000E+00,  -0.22163353E+12,   0.00000000E+00,   0.00000000E+00,   0.96972040E+10,   0.24936374E+10,   0.00000000E+00,   0.15341999E-06,
 40934.000,   1,  0.20979085E+12,   0.00000000E+00,  -0.22200848E+12,   0.00000000E+00,   0.00000000E+00,   0.97277312E+10,   0.25070166E+10,   0.00000000E+00,   0.14817434E-06,
 40934.999,   1,  0.21010694E+12,   0.00000000E+00,  -0.22235699E+12,   0.00000000E+00,   0.00000000E+00,   0.97474246E+10,   0.25238963E+10,   0.00000000E+00,   0.12315672E-06,
 40936.000,   1,  0.21045124E+12,   0.00000000E+00,  -0.22274267E+12,   0.00000000E+00,   0.00000000E+00,   0.97743366E+10,   0.25409011E+10,   0.00000000E+00,   0.10881994E-06,
 40937.000,   1,  0.21080714E+12,   0.00000000E+00,  -0.22315133E+12,   0.00000000E+00,   0.00000000E+00,   0.98100350E+10,   0.25559978E+10,   0.00000000E+00,   0.11519712E-06,
 40937.999,   1,  0.21114553E+12,   0.00000000E+00,  -0.22353173E+12,   0.00000000E+00,   0.00000000E+00,   0.98336922E+10,   0.25694059E+10,   0.00000000E+00,   0.14121342E-06,
 40938.999,   1,  0.21145173E+12,   0.00000000E+00,  -0.22386669E+12,   0.00000000E+00,   0.00000000E+00,   0.98482935E+10,   0.25821159E+10,   0.00000000E+00,   0.16540913E-06,
 40939.999,   1,  0.21172786E+12,   0.00000000E+00,  -0.22418148E+12,   0.00000000E+00,   0.00000000E+00,   0.98772425E+10,   0.25947527E+10,   0.00000000E+00,   0.12749306E-06,
 40941.000,   1,  0.21200423E+12,   0.00000000E+00,  -0.22450238E+12,   0.00000000E+00,   0.00000000E+00,   0.99071338E+10,   0.26068643E+10,   0.00000000E+00,   0.14511257E-06,
 40941.999,   1,  0.21229139E+12,   0.00000000E+00,  -0.22482679E+12,   0.00000000E+00,   0.00000000E+00,   0.99303503E+10,   0.26178502E+10,   0.00000000E+00,   0.17786319E-06,
 40942.999,   1,  0.21258094E+12,   0.00000000E+00,  -0.22515130E+12,   0.00000000E+00,   0.00000000E+00,   0.99568567E+10,   0.26279793E+10,   0.00000000E+00,   0.15221493E-06,
 40943.999,   1,  0.21286793E+12,   0.00000000E+00,  -0.22547174E+12,   0.00000000E+00,   0.00000000E+00,   0.99816985E+10,   0.26376069E+10,   0.00000000E+00,   0.14008707E-06,
 40944.999,   1,  0.21317056E+12,   0.00000000E+00,  -0.22580718E+12,   0.00000000E+00,   0.00000000E+00,   0.10008456E+11,   0.26466716E+10,   0.00000000E+00,   0.11758136E-06,
 40946.000,   1,  0.21347860E+12,   0.00000000E+00,  -0.22615569E+12,   0.00000000E+00,   0.00000000E+00,   0.10042646E+11,   0.26553079E+10,   0.00000000E+00,   0.10681017E-06,
 40946.999,   1,  0.21377676E+12,   0.00000000E+00,  -0.22650989E+12,   0.00000000E+00,   0.00000000E+00,   0.10087270E+11,   0.26636389E+10,   0.00000000E+00,   0.12432832E-06,
 40947.999,   1,  0.21406626E+12,   0.00000000E+00,  -0.22684627E+12,   0.00000000E+00,   0.00000000E+00,   0.10121241E+11,   0.26715173E+10,   0.00000000E+00,   0.17339887E-06,
 40948.998,   1,  0.21435179E+12,   0.00000000E+00,  -0.22716012E+12,   0.00000000E+00,   0.00000000E+00,   0.10140642E+11,   0.26789670E+10,   0.00000000E+00,   0.21280838E-06,
 40950.000,   1,  0.21465424E+12,   0.00000000E+00,  -0.22748989E+12,   0.00000000E+00,   0.00000000E+00,   0.10164086E+11,   0.26863799E+10,   0.00000000E+00,   0.15411940E-06,
