$Return Flows From Banks Lake 2011-2015,,
,,
JDAY,QTR,
24.625,44.3,
24.667,51.3,
24.708,55.9,
24.75,314.7,
24.792,386.9,
24.833,51.3,
24.875,46.6,
24.917,4.7,
24.958,0,
25,0,
25.042,0,
25.083,0,
25.125,0,
25.167,0,
25.208,0,
25.25,0,
25.292,0,
25.333,28.2,
25.375,47,
25.417,47,
25.458,76.8,
25.5,258.5,
25.542,260.1,
25.583,260.1,
25.625,258.5,
25.667,258.5,
25.708,258.5,
25.75,260.1,
25.792,253.8,
25.833,12.5,
25.875,0,
25.917,0,
25.958,0,
26,0,
26.042,0,
26.083,0,
26.125,0,
26.167,0,
26.208,0,
26.25,86.9,
26.292,214.1,
26.333,256,
26.375,256,
26.417,254.5,
26.458,254.5,
26.5,256,
26.542,256,
26.583,256,
26.625,256,
26.667,256,
26.708,256,
26.75,256,
26.792,254.5,
26.833,254.5,
26.875,254.5,
26.917,254.5,
26.958,254.5,
27,144.9,
27.042,0,
27.083,0,
27.125,0,
27.167,0,
27.208,16.4,
27.25,206.6,
27.292,206.6,
27.333,206.6,
27.375,156.2,
27.417,0,
27.458,0,
27.5,0,
27.542,0,
27.583,0,
27.625,0,
27.667,0,
27.708,0,
27.75,0,
27.792,0,
27.833,0,
27.875,0,
27.917,0,
27.958,0,
28,0,
28.042,0,
28.083,0,
28.125,0,
28.167,0,
28.208,0,
28.25,11.8,
28.292,271.6,
28.333,276.7,
28.375,276.7,
28.417,210.9,
28.458,0,
28.5,0,
28.542,0,
28.583,0,
28.625,0,
28.667,0,
28.708,10.1,
28.75,42.2,
28.792,43.9,
28.833,42.2,
28.875,43.9,
28.917,5.1,
28.958,0,
29,0,
29.042,0,
29.083,0,
29.125,0,
29.167,0,
29.208,0,
29.25,0,
29.292,0,
29.333,0,
29.375,0,
29.417,0,
29.458,0,
29.5,0,
29.542,0,
29.583,0,
29.625,0,
29.667,0,
29.708,0,
29.75,0,
29.792,0,
29.833,0,
29.875,0,
29.917,0,
29.958,0,
30,0,
30.042,0,
30.083,0,
30.125,0,
30.167,0,
30.208,0,
30.25,0,
30.292,0,
30.333,0,
30.375,0,
30.417,0,
30.458,0,
30.5,0,
30.542,0,
30.583,0,
30.625,0,
30.667,0,
30.708,6,
30.75,74.6,
30.792,26.8,
30.833,0,
30.875,0,
30.917,0,
30.958,0,
31,0,
31.042,0,
31.083,0,
31.125,0,
31.167,0,
31.208,0,
31.25,0,
31.292,0,
31.333,0,
31.375,0,
31.417,0,
31.458,0,
31.5,0,
31.542,0,
31.583,0,
31.625,0,
31.667,0,
31.708,10,
31.75,73.4,
31.792,70.1,
31.833,66.7,
31.875,3.3,
31.917,0,
31.958,0,
32,0,
32.042,0,
32.083,0,
32.125,0,
32.167,0,
32.208,3,
32.25,37.5,
32.292,139.4,
32.333,127.4,
32.375,227.9,
32.417,257.8,
32.458,257.8,
32.5,257.8,
32.542,257.8,
32.583,257.8,
32.625,257.8,
32.667,257.8,
32.708,257.8,
32.75,227.9,
32.792,0,
32.833,0,
32.875,0,
32.917,0,
32.958,0,
33,0,
33.042,0,
33.083,0,
33.125,0,
33.167,0,
33.208,0,
33.25,0,
33.292,4.5,
33.333,25.4,
33.375,158.3,
33.417,192.6,
33.458,0,
33.5,0,
33.542,0,
33.583,0,
33.625,0,
33.667,14.9,
33.708,270.3,
33.75,271.8,
33.792,271.8,
33.833,270.3,
33.875,270.3,
33.917,270.3,
33.958,197.1,
34,0,
34.042,0,
34.083,0,
34.125,0,
34.167,0,
34.208,0,
34.25,3,
34.292,94.1,
34.333,256.8,
34.375,261.3,
34.417,203.1,
34.458,0,
34.5,0,
34.542,0,
34.583,0,
34.625,0,
34.667,0,
34.708,0,
34.75,0,
34.792,0,
34.833,0,
34.875,0,
34.917,0,
34.958,0,
35,0,
35.042,0,
35.083,0,
35.125,0,
35.167,0,
35.208,0,
35.25,0,
35.292,0,
35.333,0,
35.375,0,
35.417,0,
35.458,0,
35.5,0,
35.542,0,
35.583,0,
35.625,0,
35.667,0,
35.708,0,
35.75,0,
35.792,0,
35.833,0,
35.875,0,
35.917,0,
35.958,0,
36,0,
36.042,0,
36.083,0,
36.125,0,
36.167,0,
36.208,0,
36.25,0,
36.292,0,
36.333,0,
36.375,0,
36.417,0,
36.458,0,
36.5,0,
36.542,0,
36.583,0,
36.625,0,
36.667,0,
36.708,0,
36.75,0,
36.792,0,
36.833,0,
36.875,0,
36.917,0,
36.958,0,
37,0,
37.042,0,
37.083,0,
37.125,0,
37.167,0,
37.208,0,
37.25,0,
37.292,0,
37.333,0,
37.375,0,
37.417,0,
37.458,0,
37.5,0,
37.542,0,
37.583,0,
37.625,0,
37.667,0,
37.708,0,
37.75,0,
37.792,0,
37.833,0,
37.875,0,
37.917,0,
37.958,0,
38,0,
38.042,0,
38.083,0,
38.125,0,
38.167,0,
38.208,0,
38.25,0,
38.292,0,
38.333,0,
38.375,0,
38.417,0,
38.458,0,
38.5,0,
38.542,0,
38.583,0,
38.625,0,
38.667,0,
38.708,0,
38.75,0,
38.792,0,
38.833,0,
38.875,0,
38.917,0,
38.958,0,
39,0,
39.042,0,
39.083,0,
39.125,0,
39.167,0,
39.208,0,
39.25,0,
39.292,0,
39.333,0,
39.375,0,
39.417,0,
39.458,0,
39.5,0,
39.542,15.4,
39.583,35.6,
39.625,0,
39.667,0,
39.708,0,
39.75,0,
39.792,0,
39.833,0,
39.875,0,
39.917,0,
39.958,0,
40,0,
40.042,0,
40.083,0,
40.125,0,
40.167,0,
40.208,0,
40.25,0,
40.292,119.8,
40.333,236.6,
40.375,236.6,
40.417,216.4,
40.458,0,
40.5,0,
40.542,0,
40.583,0,
40.625,0,
40.667,0,
40.708,1.4,
40.75,233.7,
40.792,255.4,
40.833,212.1,
40.875,0,
40.917,0,
40.958,0,
41,0,
41.042,0,
41.083,0,
41.125,0,
41.167,0,
41.208,0,
41.25,0,
41.292,206,
41.333,233,
41.375,233,
41.417,233,
41.458,233,
41.5,231.6,
41.542,233,
41.583,233,
41.625,233,
41.667,233,
41.708,233,
41.75,233,
41.792,233,
41.833,233,
41.875,233,
41.917,197.5,
41.958,0,
42,0,
42.042,0,
42.083,0,
42.125,0,
42.167,0,
42.208,0,
42.25,0,
42.292,0,
42.333,0,
42.375,0,
42.417,0,
42.458,0,
42.5,0,
42.542,0,
42.583,0,
42.625,0,
42.667,4.3,
42.708,247.5,
42.75,256.1,
42.792,256.1,
42.833,256.1,
42.875,214.6,
42.917,0,
42.958,0,
43,0,
43.042,0,
43.083,0,
43.125,0,
43.167,0,
43.208,0,
43.25,0,
43.292,0,
43.333,0,
43.375,0,
43.417,0,
43.458,0,
43.5,0,
43.542,0,
43.583,0,
43.625,0,
43.667,0,
43.708,0,
43.75,0,
43.792,0,
43.833,0,
43.875,0,
43.917,0,
43.958,0,
44,0,
44.042,0,
44.083,0,
44.125,0,
44.167,0,
44.208,0,
44.25,0,
44.292,0,
44.333,0,
44.375,0,
44.417,0,
44.458,0,
44.5,0,
44.542,0,
44.583,0,
44.625,0,
44.667,0,
44.708,0,
44.75,0,
44.792,0,
44.833,0,
44.875,0,
44.917,0,
44.958,0,
45,0,
45.042,0,
45.083,0,
45.125,0,
45.167,0,
45.208,0,
45.25,0,
45.292,0,
45.333,0,
45.375,0,
45.417,0,
45.458,0,
45.5,0,
45.542,0,
45.583,0,
45.625,0,
45.667,0,
45.708,0,
45.75,0,
45.792,0,
45.833,0,
45.875,0,
45.917,0,
45.958,0,
46,0,
46.042,0,
46.083,0,
46.125,0,
46.167,0,
46.208,0,
46.25,76.3,
46.292,238.6,
46.333,238.6,
46.375,238.6,
46.417,238.6,
46.458,238.6,
46.5,238.6,
46.542,238.6,
46.583,238.6,
46.625,238.6,
46.667,238.6,
46.708,238.6,
46.75,244.2,
46.792,242.8,
46.833,244.2,
46.875,244.2,
46.917,199.8,
46.958,0,
47,0,
47.042,0,
47.083,0,
47.125,0,
47.167,0,
47.208,0,
47.25,33,
47.292,62.3,
47.333,54.9,
47.375,0,
47.417,0,
47.458,0,
47.5,0,
47.542,0,
47.583,0,
47.625,0,
47.667,0,
47.708,0,
47.75,0,
47.792,0,
47.833,0,
47.875,0,
47.917,0,
47.958,0,
48,0,
48.042,0,
48.083,0,
48.125,0,
48.167,0,
48.208,0,
48.25,0,
48.292,0,
48.333,0,
48.375,0,
48.417,0,
48.458,0,
48.5,0,
48.542,0,
48.583,0,
48.625,0,
48.667,0,
48.708,0,
48.75,0,
48.792,0,
48.833,0,
48.875,0,
48.917,0,
48.958,0,
49,0,
49.042,0,
49.083,0,
49.125,0,
49.167,0,
49.208,0,
49.25,0,
49.292,0,
49.333,0,
49.375,0,
49.417,0,
49.458,0,
49.5,0,
49.542,0,
49.583,0,
49.625,0,
49.667,0,
49.708,0,
49.75,0,
49.792,0,
49.833,0,
49.875,0,
49.917,0,
49.958,0,
50,0,
50.042,0,
50.083,0,
50.125,0,
50.167,0,
50.208,0,
50.25,0,
50.292,0,
50.333,0,
50.375,0,
50.417,0,
50.458,0,
50.5,0,
50.542,0,
50.583,0,
50.625,0,
50.667,0,
50.708,0,
50.75,0,
50.792,0,
50.833,0,
50.875,0,
50.917,0,
50.958,0,
51,0,
51.042,0,
51.083,0,
51.125,0,
51.167,0,
51.208,0,
51.25,0,
51.292,0,
51.333,0,
51.375,0,
51.417,0,
51.458,0,
51.5,0,
51.542,0,
51.583,0,
51.625,0,
51.667,0,
51.708,0,
51.75,0,
51.792,0,
51.833,0,
51.875,0,
51.917,0,
51.958,0,
52,0,
52.042,0,
52.083,0,
52.125,0,
52.167,0,
52.208,0,
52.25,0,
52.292,0,
52.333,0,
52.375,0,
52.417,0,
52.458,0,
52.5,0,
52.542,0,
52.583,0,
52.625,0,
52.667,0,
52.708,0,
52.75,0,
52.792,0,
52.833,0,
52.875,0,
52.917,0,
52.958,0,
53,0,
53.042,0,
53.083,0,
53.125,0,
53.167,0,
53.208,0,
53.25,0,
53.292,2.9,
53.333,27.2,
53.375,15.7,
53.417,0,
53.458,0,
53.5,0,
53.542,0,
53.583,0,
53.625,0,
53.667,0,
53.708,0,
53.75,2.9,
53.792,221.6,
53.833,235.9,
53.875,234.4,
53.917,234.4,
53.958,228.7,
54,0,
54.042,0,
54.083,0,
54.125,0,
54.167,0,
54.208,0.2,
54.25,4.2,
54.292,4.4,
54.333,4.2,
54.375,4.3,
54.417,3.4,
54.458,0,
54.5,0,
54.542,0,
54.583,0,
54.625,0,
54.667,0,
54.708,0.1,
54.75,3.9,
54.792,4.1,
54.833,4.1,
54.875,3.1,
54.917,0,
54.958,0,
55,0,
55.042,0,
55.083,0,
55.125,0,
55.167,0,
55.208,0,
55.25,12.2,
55.292,243.2,
55.333,245.9,
55.375,244.5,
55.417,244.5,
55.458,244.5,
55.5,244.5,
55.542,244.5,
55.583,244.5,
55.625,244.5,
55.667,244.5,
55.708,245.9,
55.75,245.9,
55.792,244.5,
55.833,218.7,
55.875,0,
55.917,0,
55.958,0,
56,0,
56.042,0,
56.083,0,
56.125,0,
56.167,0,
56.208,0,
56.25,24.4,
56.292,243.7,
56.333,243.7,
56.375,242.3,
56.417,242.3,
56.458,242.3,
56.5,242.3,
56.542,178.7,
56.583,0,
56.625,0,
56.667,0,
56.708,0,
56.75,0,
56.792,0,
56.833,0,
56.875,0,
56.917,0,
56.958,0,
57,0,
57.042,0,
57.083,0,
57.125,0,
57.167,0,
57.208,0,
57.25,0,
57.292,0,
57.333,0,
57.375,0,
57.417,0,
57.458,0,
57.5,0,
57.542,0,
57.583,0,
57.625,0,
57.667,0,
57.708,0,
57.75,0,
57.792,0,
57.833,0,
57.875,0,
57.917,0,
57.958,0,
58,0,
58.042,0,
58.083,0,
58.125,0,
58.167,0,
58.208,21.4,
58.25,259.9,
58.292,261.4,
58.333,261.4,
58.375,261.4,
58.417,261.4,
58.458,261.4,
58.5,261.4,
58.542,261.4,
58.583,97.1,
58.625,40,
58.667,40,
58.708,38.6,
58.75,40,
58.792,132.8,
58.833,235.7,
58.875,235.7,
58.917,181.4,
58.958,0,
59,0,
59.042,0,
59.083,0,
59.125,0,
59.167,0,
59.208,0,
59.25,21.7,
59.292,243.3,
59.333,108.7,
59.375,0,
59.417,0,
59.458,0,
59.5,0,
59.542,0,
59.583,0,
59.625,0,
59.667,0,
59.708,0,
59.75,0,
59.792,0,
59.833,0,
59.875,0,
59.917,0,
59.958,0,
60,0,
60.042,0,
60.083,0,
60.125,0,
60.167,0,
60.208,0,
60.25,0,
60.292,0,
60.333,0,
60.375,24.6,
60.417,0,
60.458,0,
60.5,0,
60.542,0,
60.583,0,
60.625,0,
60.667,6.8,
60.708,220.2,
60.75,227,
60.792,225.7,
60.833,225.7,
60.875,225.7,
60.917,166.9,
60.958,0,
61,0,
61.042,0,
61.083,0,
61.125,0,
61.167,0,
61.208,0,
61.25,15.3,
61.292,272,
61.333,220.1,
61.375,41.3,
61.417,29,
61.458,0,
61.5,0,
61.542,0,
61.583,0,
61.625,0,
61.667,0,
61.708,0,
61.75,0,
61.792,0,
61.833,0,
61.875,0,
61.917,0,
61.958,0,
62,0,
62.042,0,
62.083,0,
62.125,0,
62.167,0,
62.208,0,
62.25,0,
62.292,18.7,
62.333,238.2,
62.375,239.5,
62.417,211.4,
62.458,0,
62.5,0,
62.542,0,
62.583,0,
62.625,37.5,
62.667,239.5,
62.708,240.8,
62.75,240.8,
62.792,240.8,
62.833,239.5,
62.875,238.2,
62.917,168.6,
62.958,0,
63,0,
63.042,0,
63.083,0,
63.125,0,
63.167,0,
63.208,2.7,
63.25,124.2,
63.292,244.4,
63.333,244.4,
63.375,208.9,
63.417,36.9,
63.458,90.1,
63.5,249.8,
63.542,249.8,
63.583,248.5,
63.625,248.5,
63.667,248.5,
63.708,249.8,
63.75,249.8,
63.792,249.8,
63.833,248.5,
63.875,248.5,
63.917,248.5,
63.958,202,
64,0,
64.042,0,
64.083,0,
64.125,0,
64.167,0,
64.208,0,
64.25,0,
64.292,0,
64.333,0,
64.375,0,
64.417,0,
64.458,0,
64.5,0,
64.542,0,
64.583,0,
64.625,0,
64.667,0,
64.708,0,
64.75,0,
64.792,0,
64.833,0,
64.875,0,
64.917,0,
64.958,0,
65,0,
65.042,0,
65.083,0,
65.125,0,
65.167,0,
65.208,0,
65.25,0,
65.292,0,
65.333,0,
65.375,0,
65.417,0,
65.458,0,
65.5,0,
65.542,0,
65.583,0,
65.625,0,
65.667,0,
65.708,0,
65.75,0,
65.792,0,
65.833,0,
65.875,0,
65.917,0,
65.958,0,
66,0,
66.042,0,
66.083,0,
66.125,0,
66.167,0,
66.208,0,
66.25,1.4,
66.292,39.4,
66.333,138.7,
66.375,189,
66.417,189,
66.458,189,
66.5,189,
66.542,189,
66.583,189,
66.625,189,
66.667,189,
66.708,189,
66.75,189,
66.792,189,
66.833,168.6,
66.875,0,
66.917,0,
66.958,0,
67,0,
67.042,0,
67.083,0,
67.125,0,
67.167,0,
67.208,0,
67.25,4.5,
67.292,180.2,
67.333,190.8,
67.375,168.1,
67.417,0,
67.458,0,
67.5,0,
67.542,0,
67.583,0,
67.625,0,
67.667,0,
67.708,0,
67.75,0,
67.792,0,
67.833,0,
67.875,0,
67.917,0,
67.958,0,
68,0,
68.042,0,
68.083,0,
68.125,0,
68.167,0,
68.208,0,
68.25,0,
68.292,0,
68.333,0,
68.375,0,
68.417,0,
68.458,0,
68.5,0,
68.542,0,
68.583,0,
68.625,0,
68.667,0,
68.708,0,
68.75,0,
68.792,0,
68.833,0,
68.875,0,
68.917,0,
68.958,0,
69,0,
69.042,0,
69.083,0,
69.125,0,
69.167,0,
69.208,0,
69.25,0,
69.292,0,
69.333,0,
69.375,0,
69.417,0,
69.458,0,
69.5,0,
69.542,0,
69.583,0,
69.625,0,
69.667,0,
69.708,0,
69.75,0,
69.792,0,
69.833,0,
69.875,0,
69.917,0,
69.958,0,
70,0,
70.042,0,
70.083,0,
70.125,0,
70.167,0,
70.208,0,
70.25,5.2,
70.292,160.9,
70.333,160.9,
70.375,160.9,
70.417,160.9,
70.458,166.1,
70.5,179.2,
70.542,179.2,
70.583,179.2,
70.625,179.2,
70.667,179.2,
70.708,179.2,
70.75,179.2,
70.792,179.2,
70.833,179.2,
70.875,179.2,
70.917,154.3,
70.958,0,
71,0,
71.042,0,
71.083,0,
71.125,0,
71.167,0,
71.208,0,
71.25,0,
71.292,0,
71.333,0,
71.375,17.1,
71.417,177.8,
71.458,181.8,
71.5,181.8,
71.542,148.8,
71.583,0,
71.625,0,
71.667,0,
71.708,0,
71.75,21.1,
71.792,196.2,
71.833,198.9,
71.875,197.6,
71.917,166,
71.958,0,
72,0,
72.042,0,
72.083,0,
72.125,0,
72.167,0,
72.208,0,
72.25,0,
72.292,0,
72.333,0,
72.375,0,
72.417,0,
72.458,0,
72.5,0,
72.542,0,
72.583,0,
72.625,0,
72.667,0,
72.708,0,
72.75,0,
72.792,0,
72.833,58.3,
72.875,213.9,
72.917,170.9,
72.958,0,
73,399.8,
73.042,0,
73.083,0,
73.125,0,
73.167,0,
73.208,0,
73.25,5.1,
73.292,128.2,
73.333,138.4,
73.375,140.5,
73.417,140.5,
73.458,140.5,
73.5,145.6,
73.542,30.8,
73.583,0,
73.625,0,
73.667,0,
73.708,0,
73.75,3.1,
73.792,152.8,
73.833,157.9,
73.875,157.9,
73.917,113.8,
73.958,0,
74,0,
74.042,0,
74.083,0,
74.125,0,
74.167,0,
74.208,0,
74.25,0,
74.292,25.8,
74.333,0,
74.375,0,
74.417,0,
74.458,0,
74.5,0,
74.542,0,
74.583,0,
74.625,0,
74.667,0,
74.708,0,
74.75,0,
74.792,0,
74.833,0,
74.875,0,
74.917,0,
74.958,0,
75,0,
75.042,0,
75.083,0,
75.125,0,
75.167,0,
75.208,0,
75.25,0,
75.292,0,
75.333,0,
75.375,0,
75.417,0,
75.458,0,
75.5,0,
75.542,0,
75.583,0,
75.625,0,
75.667,0,
75.708,0,
75.75,0,
75.792,0,
75.833,0,
75.875,0,
75.917,0,
75.958,0,
76,0,
76.042,0,
76.083,0,
76.125,0,
76.167,0,
76.208,0,
76.25,0,
76.292,144.1,
76.333,174.2,
76.375,152,
76.417,0,
76.458,0,
76.5,0,
76.542,0,
76.583,0,
76.625,0,
76.667,0,
76.708,0,
76.75,0,
76.792,0,
76.833,0,
76.875,0,
76.917,0,
76.958,0,
77,0,
77.042,0,
77.083,0,
77.125,0,
77.167,0,
77.208,0,
77.25,20.1,
77.292,241.4,
77.333,36.6,
77.375,36.6,
77.417,36.6,
77.458,31.1,
77.5,0,
77.542,0,
77.583,0,
77.625,0,
77.667,0,
77.708,0,
77.75,0,
77.792,0,
77.833,0,
77.875,0,
77.917,0,
77.958,0,
78,0,
78.042,0,
78.083,0,
78.125,0,
78.167,0,
78.208,0,
78.25,0,
78.292,0,
78.333,0,
78.375,0,
78.417,0,
78.458,0,
78.5,0,
78.542,0,
78.583,0,
78.625,0,
78.667,0,
78.708,0,
78.75,0,
78.792,0,
78.833,0,
78.875,0,
78.917,0,
78.958,0,
79,0,
79.042,0,
79.083,0,
79.125,0,
79.167,0,
79.208,0,
79.25,0,
79.292,0,
79.333,0,
79.375,0,
79.417,0,
79.458,0,
79.5,0,
79.542,0,
79.583,0,
79.625,0,
79.667,0,
79.708,0,
79.75,0,
79.792,0,
79.833,0,
79.875,0,
79.917,0,
79.958,0,
80,0,
80.042,0,
80.083,0,
80.125,0,
80.167,0,
80.208,0,
80.25,0,
80.292,0,
80.333,0,
80.375,0,
80.417,6.2,
80.458,113.4,
80.5,114.6,
80.542,114.6,
