$Temperature file for segment 192
To the right of the sum of temperatures are individual temperatures starting with QWD then QSTR
JDAY,T(C),
     6.400,    0.00,
     6.450,    0.00,
     6.500,    0.00,
     6.550,    0.00,
     6.600,    0.00,
     6.650,    0.00,
     6.700,    0.00,
     6.750,    0.00,
     6.800,    0.00,
     6.850,    0.00,
     6.900,    0.00,
     6.950,    0.00,
     7.000,    0.00,
     7.050,    0.00,
     7.100,    0.00,
     7.150,    0.00,
     7.200,    0.00,
     7.250,    0.00,
     7.300,    0.00,
     7.350,    0.00,
     7.400,    0.00,
     7.450,    0.00,
     7.500,    0.00,
     7.550,    0.00,
     7.600,    0.00,
     7.650,    0.00,
     7.700,    0.00,
     7.750,    0.00,
     7.800,    0.00,
     7.850,    0.00,
     7.900,    0.00,
     7.950,    0.00,
     8.000,    0.00,
     8.050,    0.00,
     8.100,    0.00,
     8.150,    0.00,
     8.200,    0.00,
     8.250,    0.00,
     8.300,    0.00,
     8.350,    0.00,
     8.400,    0.00,
     8.450,    0.00,
     8.500,    0.00,
     8.550,    0.00,
     8.600,    0.00,
     8.650,    0.00,
     8.700,    0.00,
     8.750,    0.00,
     8.800,    0.00,
     8.850,    0.00,
     8.900,    0.00,
     8.950,    0.00,
     9.000,    0.00,
     9.050,    0.00,
     9.100,    0.00,
     9.150,    0.00,
     9.200,    0.00,
     9.250,    0.00,
     9.300,    0.00,
     9.350,    0.00,
     9.400,    0.00,
     9.450,    0.00,
     9.500,    0.00,
     9.550,    0.00,
     9.600,    0.00,
     9.650,    0.00,
     9.700,    0.00,
     9.750,    0.00,
     9.800,    0.00,
     9.850,    0.00,
     9.900,    0.00,
     9.950,    0.00,
    10.000,    0.00,
    10.050,    0.00,
    10.100,    0.00,
    10.150,    0.00,
    10.200,    0.00,
    10.250,    0.00,
    10.300,    0.00,
    10.350,    0.00,
    10.400,    0.00,
    10.450,    0.00,
    10.500,    0.00,
    10.550,    0.00,
    10.600,    0.00,
    10.650,    0.00,
    10.700,    0.00,
    10.750,    0.00,
    10.800,    0.00,
    10.850,    0.00,
    10.900,    0.00,
    10.950,    0.00,
    11.000,    0.00,
    11.050,    0.00,
    11.100,    0.00,
    11.150,    0.00,
    11.200,    0.00,
    11.250,    0.00,
    11.300,    0.00,
    11.350,    0.00,
    11.400,    0.00,
    11.450,    0.00,
    11.500,    0.00,
    11.550,    0.00,
    11.600,    0.00,
    11.650,    0.00,
    11.700,    0.00,
    11.750,    0.00,
    11.800,    0.00,
    11.850,    0.00,
    11.900,    0.00,
    11.950,    0.00,
    12.000,    0.00,
    12.050,    0.00,
    12.100,    0.00,
    12.150,    0.00,
    12.200,    0.00,
    12.250,    0.00,
    12.300,    0.00,
    12.350,    0.00,
    12.400,    0.00,
    12.450,    0.00,
    12.500,    0.00,
    12.550,    0.00,
    12.600,    0.00,
    12.650,    0.00,
    12.700,    0.00,
    12.750,    0.00,
    12.800,    0.00,
    12.850,    0.00,
    12.900,    0.00,
    12.950,    0.00,
    13.000,    0.00,
    13.050,    0.00,
    13.100,    0.00,
    13.150,    0.00,
    13.200,    0.00,
    13.250,    0.00,
    13.300,    0.00,
    13.350,    0.00,
    13.400,    0.00,
    13.450,    0.00,
    13.500,    0.00,
    13.550,    0.00,
    13.600,    0.00,
    13.650,    0.00,
    13.700,    0.00,
    13.750,    0.00,
    13.800,    0.00,
    13.850,    0.00,
    13.900,    0.00,
    13.950,    0.00,
    14.000,    0.00,
    14.050,    0.00,
    14.100,    0.00,
    14.150,    0.00,
    14.200,    0.00,
    14.250,    0.00,
    14.300,    0.00,
    14.350,    0.00,
    14.400,    0.00,
    14.450,    0.00,
    14.500,    0.00,
    14.550,    0.00,
    14.600,    0.00,
    14.650,    0.00,
    14.700,    0.00,
    14.750,    0.00,
    14.800,    0.00,
    14.850,    0.00,
    14.900,    0.00,
    14.950,    0.00,
    15.000,    0.00,
    15.050,    0.00,
    15.100,    0.00,
    15.150,    0.00,
    15.200,    0.00,
    15.250,    0.00,
    15.300,    0.00,
    15.350,    0.00,
    15.400,    0.00,
    15.450,    0.00,
    15.500,    0.00,
    15.550,    0.00,
    15.600,    0.00,
    15.650,    0.00,
    15.700,    0.00,
    15.750,    0.00,
    15.800,    0.00,
    15.850,    0.00,
    15.900,    0.00,
    15.950,    0.00,
    16.000,    0.00,
    16.050,    0.00,
    16.100,    0.00,
    16.150,    0.00,
    16.200,    0.00,
    16.250,    0.00,
    16.300,    0.00,
    16.350,    0.00,
    16.400,    0.00,
    16.450,    0.00,
    16.500,    0.00,
    16.550,    0.00,
    16.600,    0.00,
    16.650,    0.00,
    16.700,    0.00,
    16.750,    0.00,
    16.800,    0.00,
    16.850,    0.00,
    16.900,    0.00,
    16.950,    0.00,
    17.000,    0.00,
    17.050,    0.00,
    17.100,    0.00,
    17.150,    0.00,
    17.200,    0.00,
    17.250,    0.00,
    17.300,    0.00,
    17.350,    0.00,
    17.400,    0.00,
    17.450,    0.00,
    17.500,    0.00,
    17.550,    0.00,
    17.600,    0.00,
    17.650,    0.00,
    17.700,    0.00,
    17.750,    0.00,
    17.800,    0.00,
    17.850,    0.00,
    17.900,    0.00,
    17.950,    0.00,
    18.000,    0.00,
    18.050,    0.00,
    18.100,    0.00,
    18.150,    0.00,
    18.200,    0.00,
    18.250,    0.00,
    18.300,    0.00,
    18.350,    0.00,
    18.400,    0.00,
    18.450,    0.00,
    18.500,    0.00,
    18.550,    0.00,
    18.600,    0.00,
    18.650,    0.00,
    18.700,    0.00,
    18.750,    0.00,
    18.800,    0.00,
    18.850,    0.00,
    18.900,    0.00,
    18.950,    0.00,
    19.000,    0.00,
    19.050,    0.00,
    19.100,    0.00,
    19.150,    0.00,
    19.200,    0.00,
    19.250,    0.00,
    19.300,    0.00,
    19.350,    0.00,
    19.400,    0.00,
    19.450,    0.00,
    19.500,    0.00,
    19.550,    0.00,
    19.600,    0.00,
    19.650,    0.00,
    19.700,    0.00,
    19.750,    0.00,
    19.800,    0.00,
    19.850,    0.00,
    19.900,    0.00,
    19.950,    0.00,
    20.000,    0.00,
    20.050,    0.00,
    20.100,    0.00,
    20.150,    0.00,
    20.200,    0.00,
    20.250,    0.00,
    20.300,    0.00,
    20.350,    0.00,
    20.400,    0.00,
    20.450,    0.00,
    20.500,    0.00,
    20.550,    0.00,
    20.600,    0.00,
    20.650,    0.00,
    20.700,    0.00,
    20.750,    0.00,
    20.800,    0.00,
    20.850,    0.00,
    20.900,    0.00,
    20.950,    0.00,
    21.000,    0.00,
    21.050,    0.00,
    21.100,    0.00,
    21.150,    0.00,
    21.200,    0.00,
    21.250,    0.00,
    21.300,    0.00,
    21.350,    0.00,
    21.400,    0.00,
    21.450,    0.00,
    21.500,    0.00,
    21.550,    0.00,
    21.600,    0.00,
    21.650,    0.00,
    21.700,    0.00,
    21.750,    0.00,
    21.800,    0.00,
    21.850,    0.00,
    21.900,    0.00,
    21.950,    0.00,
    22.000,    0.00,
    22.050,    0.00,
    22.100,    0.00,
    22.150,    0.00,
    22.200,    0.00,
    22.250,    0.00,
    22.300,    0.00,
    22.350,    0.00,
    22.400,    0.00,
    22.450,    0.00,
    22.500,    0.00,
    22.550,    0.00,
    22.600,    0.00,
    22.650,    0.00,
    22.700,    0.00,
    22.750,    0.00,
    22.800,    0.00,
    22.850,    0.00,
    22.900,    0.00,
    22.950,    0.00,
    23.000,    0.00,
    23.050,    0.00,
    23.100,    0.00,
    23.150,    0.00,
    23.200,    0.00,
    23.250,    0.00,
    23.300,    0.00,
    23.350,    0.00,
    23.400,    0.00,
    23.450,    0.00,
    23.500,    0.00,
    23.550,    0.00,
    23.600,    0.00,
    23.650,    0.00,
    23.700,    0.00,
    23.750,    0.00,
    23.800,    0.00,
    23.850,    0.00,
    23.900,    0.00,
    23.950,    0.00,
    24.000,    0.00,
    24.050,    0.00,
    24.100,    0.00,
    24.150,    0.00,
    24.200,    0.00,
    24.250,    0.00,
    24.300,    0.00,
    24.350,    0.00,
    24.400,    0.00,
    24.450,    0.00,
    24.500,    0.00,
    24.550,    0.00,
    24.600,    0.00,
    24.650,    0.00,
    24.700,    0.00,
    24.750,    0.00,
    24.800,    0.00,
    24.850,    0.00,
    24.900,    0.00,
    24.950,    0.00,
    25.000,    0.00,
    25.050,    0.00,
    25.100,    0.00,
    25.150,    0.00,
    25.200,    0.00,
    25.250,    0.00,
    25.300,    0.00,
    25.350,    0.00,
    25.400,    0.00,
    25.450,    0.00,
    25.500,    0.00,
    25.550,    0.00,
    25.600,    0.00,
    25.650,    0.00,
    25.700,    0.00,
    25.750,    0.00,
    25.800,    0.00,
    25.850,    0.00,
    25.900,    0.00,
    25.950,    0.00,
    26.000,    0.00,
    26.050,    0.00,
    26.100,    0.00,
    26.150,    0.00,
    26.200,    0.00,
    26.250,    0.00,
    26.300,    0.00,
    26.350,    0.00,
    26.400,    0.00,
    26.450,    0.00,
    26.500,    0.00,
    26.550,    0.00,
    26.600,    0.00,
    26.650,    0.00,
    26.700,    0.00,
    26.750,    0.00,
    26.800,    0.00,
    26.850,    0.00,
    26.900,    0.00,
    26.950,    0.00,
    27.000,    0.00,
    27.050,    0.00,
    27.100,    0.00,
    27.150,    0.00,
    27.200,    0.00,
    27.250,    0.00,
    27.300,    0.00,
    27.350,    0.00,
    27.400,    0.00,
    27.450,    0.00,
    27.500,    0.00,
    27.550,    0.00,
    27.600,    0.00,
    27.650,    0.00,
    27.700,    0.00,
    27.750,    0.00,
    27.800,    0.00,
    27.850,    0.00,
    27.900,    0.00,
    27.950,    0.00,
    28.000,    0.00,
    28.050,    0.00,
    28.100,    0.00,
    28.150,    0.00,
    28.200,    0.00,
    28.250,    0.00,
    28.300,    0.00,
    28.350,    0.00,
    28.400,    0.00,
    28.450,    0.00,
    28.500,    0.00,
    28.550,    0.00,
    28.600,    0.00,
    28.650,    0.00,
    28.700,    0.00,
    28.750,    0.00,
    28.800,    0.00,
    28.850,    0.00,
    28.900,    0.00,
    28.950,    0.00,
    29.000,    0.00,
    29.050,    0.00,
    29.100,    0.00,
    29.150,    0.00,
    29.201,    0.00,
    29.250,    0.00,
    29.300,    0.00,
    29.350,    0.00,
    29.400,    0.00,
    29.450,    0.00,
    29.500,    0.00,
    29.550,    0.00,
    29.600,    0.00,
    29.650,    0.00,
    29.700,    0.00,
    29.750,    0.00,
    29.800,    0.00,
    29.850,    0.00,
    29.900,    0.00,
    29.950,    0.00,
    30.000,    0.00,
    30.050,    0.00,
    30.100,    0.00,
    30.150,    0.00,
    30.200,    0.00,
    30.250,    0.00,
    30.300,    0.00,
    30.350,    0.00,
    30.400,    0.00,
    30.450,    0.00,
    30.500,    0.00,
    30.550,    0.00,
    30.600,    0.00,
    30.650,    0.00,
    30.700,    0.00,
    30.750,    0.00,
    30.800,    0.00,
    30.850,    0.00,
    30.900,    0.00,
    30.950,    0.00,
    31.000,    0.00,
    31.050,    0.00,
    31.100,    0.00,
    31.150,    0.00,
    31.200,    0.00,
    31.250,    0.00,
    31.300,    0.00,
    31.350,    0.00,
    31.400,    0.00,
    31.450,    0.00,
    31.500,    0.00,
    31.550,    0.00,
    31.600,    0.00,
    31.650,    0.00,
    31.700,    0.00,
    31.750,    0.00,
    31.800,    0.00,
    31.850,    0.00,
    31.900,    0.00,
    31.950,    0.00,
    32.000,    0.00,
    32.050,    0.00,
    32.100,    0.00,
    32.150,    0.00,
    32.200,    0.00,
    32.250,    0.00,
    32.300,    0.00,
    32.350,    0.00,
    32.400,    0.00,
    32.450,    0.00,
    32.500,    0.00,
    32.550,    0.00,
    32.600,    0.00,
    32.650,    0.00,
    32.700,    0.00,
    32.750,    0.00,
    32.800,    0.00,
    32.850,    0.00,
    32.900,    0.00,
    32.950,    0.00,
    33.000,    0.00,
    33.050,    0.00,
    33.100,    0.00,
    33.150,    0.00,
    33.200,    0.00,
    33.250,    0.00,
    33.300,    0.00,
    33.350,    0.00,
    33.400,    0.00,
    33.450,    0.00,
    33.500,    0.00,
    33.550,    0.00,
    33.600,    0.00,
    33.650,    0.00,
    33.700,    0.00,
    33.750,    0.00,
    33.800,    0.00,
    33.850,    0.00,
    33.900,    0.00,
    33.950,    0.00,
    34.000,    0.00,
    34.050,    0.00,
    34.100,    0.00,
    34.150,    0.00,
    34.200,    0.00,
    34.250,    0.00,
    34.300,    0.00,
    34.350,    0.00,
    34.400,    0.00,
    34.450,    0.00,
    34.500,    0.00,
    34.550,    0.00,
    34.600,    0.00,
    34.650,    0.00,
    34.700,    0.00,
    34.750,    0.00,
    34.800,    0.00,
    34.850,    0.00,
    34.900,    0.00,
    34.950,    0.00,
    35.000,    0.00,
    35.050,    0.00,
    35.100,    0.00,
    35.150,    0.00,
    35.200,    0.00,
    35.250,    0.00,
    35.300,    0.00,
    35.350,    0.00,
    35.400,    0.00,
    35.450,    0.00,
    35.500,    0.00,
    35.550,    0.00,
    35.600,    0.00,
    35.650,    0.00,
    35.700,    0.00,
    35.750,    0.00,
    35.800,    0.00,
    35.850,    0.00,
    35.900,    0.00,
    35.950,    0.00,
    36.000,    0.00,
    36.050,    0.00,
    36.100,    0.00,
    36.150,    0.00,
    36.200,    0.00,
    36.250,    0.00,
    36.300,    0.00,
    36.350,    0.00,
    36.400,    0.00,
    36.450,    0.00,
    36.500,    0.00,
    36.550,    0.00,
    36.600,    0.00,
    36.650,    0.00,
    36.700,    0.00,
    36.750,    0.00,
    36.800,    0.00,
    36.850,    0.00,
    36.900,    0.00,
    36.950,    0.00,
    37.000,    0.00,
    37.050,    0.00,
    37.100,    0.00,
    37.150,    0.00,
    37.200,    0.00,
    37.250,    0.00,
    37.300,    0.00,
    37.350,    0.00,
    37.400,    0.00,
    37.450,    0.00,
    37.500,    0.00,
    37.550,    0.00,
    37.600,    0.00,
    37.650,    0.00,
    37.700,    0.00,
    37.750,    0.00,
    37.800,    0.00,
    37.850,    0.00,
    37.900,    0.00,
    37.950,    0.00,
    38.000,    0.00,
    38.050,    0.00,
    38.100,    0.00,
    38.150,    0.00,
    38.200,    0.00,
    38.250,    0.00,
    38.300,    0.00,
    38.350,    0.00,
    38.400,    0.00,
    38.450,    0.00,
    38.500,    0.00,
    38.550,    0.00,
    38.600,    0.00,
    38.650,    0.00,
    38.700,    0.00,
    38.750,    0.00,
    38.800,    0.00,
    38.850,    0.00,
    38.900,    0.00,
    38.950,    0.00,
    39.000,    0.00,
    39.050,    0.00,
    39.100,    0.00,
    39.150,    0.00,
    39.200,    0.00,
    39.250,    0.00,
    39.300,    0.00,
    39.350,    0.00,
    39.400,    0.00,
    39.450,    0.00,
    39.500,    0.00,
    39.550,    0.00,
    39.600,    0.00,
    39.650,    0.00,
    39.700,    0.00,
    39.750,    0.00,
    39.800,    0.00,
    39.850,    0.00,
    39.900,    0.00,
    39.950,    0.00,
    40.000,    0.00,
    40.050,    0.00,
    40.100,    0.00,
    40.150,    0.00,
    40.200,    0.00,
    40.250,    0.00,
    40.300,    0.00,
    40.350,    0.00,
    40.400,    0.00,
    40.450,    0.00,
    40.500,    0.00,
    40.550,    0.00,
    40.600,    0.00,
    40.650,    0.00,
    40.700,    0.00,
    40.750,    0.00,
    40.800,    0.00,
    40.850,    0.00,
    40.900,    0.00,
    40.950,    0.00,
    41.000,    0.00,
    41.050,    0.00,
    41.100,    0.00,
    41.150,    0.00,
    41.200,    0.00,
    41.250,    0.00,
    41.300,    0.00,
    41.350,    0.00,
    41.400,    0.00,
    41.450,    0.00,
    41.500,    0.00,
    41.550,    0.00,
    41.600,    0.00,
    41.650,    0.00,
    41.700,    0.00,
    41.750,    0.00,
    41.800,    0.00,
    41.850,    0.00,
    41.900,    0.00,
    41.950,    0.00,
    42.000,    0.00,
    42.050,    0.00,
    42.100,    0.00,
    42.150,    0.00,
    42.200,    0.00,
    42.250,    0.00,
    42.300,    0.00,
    42.350,    0.00,
    42.400,    0.00,
    42.450,    0.00,
    42.500,    0.00,
    42.550,    0.00,
    42.600,    0.00,
    42.650,    0.00,
    42.700,    0.00,
    42.750,    0.00,
    42.800,    0.00,
    42.850,    0.00,
    42.900,    0.00,
    42.950,    0.00,
    43.000,    0.00,
    43.050,    0.00,
    43.100,    0.00,
    43.150,    0.00,
    43.200,    0.00,
    43.250,    0.00,
    43.300,    0.00,
    43.350,    0.00,
    43.400,    0.00,
    43.450,    0.00,
    43.500,    0.00,
    43.550,    0.00,
    43.600,    0.00,
    43.650,    0.00,
    43.700,    0.00,
    43.750,    0.00,
    43.800,    0.00,
    43.850,    0.00,
    43.900,    0.00,
    43.950,    0.00,
    44.000,    0.00,
    44.050,    0.00,
    44.100,    0.00,
    44.150,    0.00,
    44.200,    0.00,
    44.250,    0.00,
    44.300,    0.00,
    44.350,    0.00,
    44.400,    0.00,
    44.450,    0.00,
    44.500,    0.00,
    44.550,    0.00,
    44.600,    0.00,
    44.650,    0.00,
    44.700,    0.00,
    44.750,    0.00,
    44.800,    0.00,
    44.850,    0.00,
    44.900,    0.00,
    44.950,    0.00,
    45.000,    0.00,
    45.050,    0.00,
    45.100,    0.00,
    45.150,    0.00,
    45.200,    0.00,
    45.250,    0.00,
    45.300,    0.00,
    45.350,    0.00,
    45.400,    0.00,
    45.450,    0.00,
    45.500,    0.00,
    45.550,    0.00,
    45.600,    0.00,
    45.650,    0.00,
    45.700,    0.00,
    45.750,    0.00,
    45.800,    0.00,
    45.850,    0.00,
    45.900,    0.00,
    45.950,    0.00,
    46.000,    0.00,
    46.050,    0.00,
    46.100,    0.00,
    46.150,    0.00,
    46.200,    0.00,
    46.250,    0.00,
    46.300,    0.00,
    46.350,    0.00,
    46.400,    0.00,
    46.450,    0.00,
    46.500,    0.00,
    46.550,    0.00,
    46.600,    0.00,
    46.650,    0.00,
    46.700,    0.00,
    46.750,    0.00,
    46.800,    0.00,
    46.850,    0.00,
    46.900,    0.00,
    46.950,    0.00,
    47.000,    0.00,
    47.050,    0.00,
    47.100,    0.00,
    47.150,    0.00,
    47.200,    0.00,
    47.250,    0.00,
    47.300,    0.00,
    47.350,    0.00,
    47.400,    0.00,
    47.450,    0.00,
    47.500,    0.00,
    47.550,    0.00,
    47.600,    0.00,
    47.650,    0.00,
    47.700,    0.00,
    47.750,    0.00,
    47.800,    0.00,
    47.850,    0.00,
    47.900,    0.00,
    47.950,    0.00,
    48.000,    0.00,
    48.050,    0.00,
    48.100,    0.00,
    48.150,    0.00,
    48.200,    0.00,
    48.250,    0.00,
    48.300,    0.00,
    48.350,    0.00,
    48.400,    0.00,
    48.450,    0.00,
    48.500,    0.00,
    48.550,    0.00,
    48.600,    0.00,
    48.650,    0.00,
    48.700,    0.00,
    48.750,    0.00,
    48.800,    0.00,
    48.850,    0.00,
    48.900,    0.00,
    48.950,    0.00,
    49.000,    0.00,
    49.050,    0.00,
    49.100,    0.00,
    49.150,    0.00,
    49.200,    0.00,
    49.250,    0.00,
    49.300,    0.00,
    49.350,    0.00,
    49.400,    0.00,
    49.450,    0.00,
    49.500,    0.00,
    49.550,    0.00,
    49.600,    0.00,
    49.650,    0.00,
    49.700,    0.00,
    49.750,    0.00,
    49.800,    0.00,
    49.850,    0.00,
    49.900,    0.00,
    49.950,    0.00,
    50.000,    0.00,
    50.050,    0.00,
    50.100,    0.00,
    50.150,    0.00,
    50.200,    0.00,
    50.250,    0.00,
    50.300,    0.00,
    50.350,    0.00,
    50.400,    0.00,
    50.450,    0.00,
    50.500,    0.00,
    50.550,    0.00,
    50.600,    0.00,
    50.650,    0.00,
    50.700,    0.00,
    50.750,    0.00,
    50.800,    0.00,
    50.850,    0.00,
    50.900,    0.00,
    50.950,    0.00,
    51.000,    0.00,
    51.050,    0.00,
    51.100,    0.00,
    51.150,    0.00,
    51.200,    0.00,
    51.250,    0.00,
    51.300,    0.00,
    51.350,    0.00,
    51.400,    0.00,
    51.450,    0.00,
    51.500,    0.00,
    51.550,    0.00,
    51.600,    0.00,
    51.650,    0.00,
    51.700,    0.00,
    51.750,    0.00,
    51.800,    0.00,
    51.850,    0.00,
    51.900,    0.00,
    51.950,    0.00,
    52.000,    0.00,
    52.050,    0.00,
    52.100,    0.00,
    52.150,    0.00,
    52.200,    0.00,
    52.250,    0.00,
    52.300,    0.00,
    52.350,    0.00,
    52.400,    0.00,
    52.450,    0.00,
    52.500,    0.00,
    52.550,    0.00,
    52.600,    0.00,
    52.650,    0.00,
    52.700,    0.00,
    52.750,    0.00,
    52.800,    0.00,
    52.850,    0.00,
    52.900,    0.00,
    52.950,    0.00,
    53.000,    0.00,
    53.050,    0.00,
    53.100,    0.00,
    53.150,    0.00,
    53.200,    0.00,
    53.250,    0.00,
    53.300,    0.00,
    53.350,    0.00,
    53.400,    0.00,
    53.450,    0.00,
    53.500,    0.00,
    53.550,    0.00,
    53.600,    0.00,
    53.650,    0.00,
    53.700,    0.00,
    53.750,    0.00,
    53.800,    0.00,
    53.850,    0.00,
    53.900,    0.00,
    53.950,    0.00,
    54.000,    0.00,
    54.050,    0.00,
    54.100,    0.00,
    54.150,    0.00,
    54.200,    0.00,
    54.250,    0.00,
    54.300,    0.00,
    54.350,    0.00,
    54.400,    0.00,
    54.450,    0.00,
    54.500,    0.00,
    54.550,    0.00,
    54.600,    0.00,
    54.650,    0.00,
    54.700,    0.00,
    54.750,    0.00,
    54.800,    0.00,
    54.850,    0.00,
    54.900,    0.00,
    54.950,    0.00,
    55.000,    0.00,
    55.050,    0.00,
    55.100,    0.00,
    55.150,    0.00,
    55.200,    0.00,
    55.250,    0.00,
    55.300,    0.00,
    55.350,    0.00,
    55.400,    0.00,
    55.450,    0.00,
    55.500,    0.00,
    55.550,    0.00,
    55.600,    0.00,
    55.650,    0.00,
    55.700,    0.00,
    55.750,    0.00,
    55.800,    0.00,
    55.850,    0.00,
    55.900,    0.00,
    55.950,    0.00,
    56.000,    0.00,
    56.050,    0.00,
    56.100,    0.00,
    56.150,    0.00,
    56.200,    0.00,
    56.250,    0.00,
    56.300,    0.00,
    56.350,    0.00,
    56.400,    0.00,
    56.450,    0.00,
    56.500,    0.00,
    56.550,    0.00,
    56.600,    0.00,
    56.650,    0.00,
    56.700,    0.00,
    56.750,    0.00,
    56.800,    0.00,
    56.850,    0.00,
    56.900,    0.00,
    56.950,    0.00,
    57.000,    0.00,
    57.050,    0.00,
    57.100,    0.00,
    57.150,    0.00,
    57.200,    0.00,
    57.250,    0.00,
    57.300,    0.00,
    57.350,    0.00,
    57.400,    0.00,
    57.450,    0.00,
    57.500,    0.00,
    57.550,    0.00,
    57.600,    0.00,
    57.650,    0.00,
    57.700,    0.00,
    57.750,    0.00,
    57.800,    0.00,
    57.850,    0.00,
    57.900,    0.00,
    57.950,    0.00,
    58.000,    0.00,
    58.050,    0.00,
    58.100,    0.00,
    58.150,    0.00,
    58.200,    0.00,
    58.250,    0.00,
    58.300,    0.00,
    58.350,    0.00,
    58.400,    0.00,
    58.450,    0.00,
    58.500,    0.00,
    58.550,    0.00,
    58.600,    0.00,
    58.650,    0.00,
    58.700,    0.00,
    58.750,    0.00,
    58.800,    0.00,
    58.850,    0.00,
    58.900,    0.00,
    58.950,    0.00,
    59.000,    0.00,
    59.050,    0.00,
    59.100,    0.00,
    59.150,    0.00,
    59.200,    0.00,
    59.250,    0.00,
    59.300,    0.00,
    59.350,    0.00,
    59.400,    0.00,
    59.450,    0.00,
    59.500,    0.00,
    59.550,    0.00,
    59.600,    0.00,
    59.650,    0.00,
    59.700,    0.00,
    59.750,    0.00,
    59.800,    0.00,
    59.850,    0.00,
    59.900,    0.00,
    59.950,    0.00,
    60.000,    0.00,
    60.050,    0.00,
    60.100,    0.00,
    60.150,    0.00,
    60.200,    0.00,
    60.250,    0.00,
    60.300,    0.00,
    60.350,    0.00,
    60.400,    0.00,
    60.450,    0.00,
    60.500,    0.00,
    60.550,    0.00,
    60.600,    0.00,
    60.650,    0.00,
    60.700,    0.00,
    60.750,    0.00,
    60.800,    0.00,
    60.850,    0.00,
    60.900,    0.00,
    60.950,    0.00,
    61.000,    0.00,
    61.050,    0.00,
    61.100,    0.00,
    61.150,    0.00,
    61.200,    0.00,
    61.250,    0.00,
    61.300,    0.00,
    61.350,    0.00,
    61.400,    0.00,
    61.450,    0.00,
    61.500,    0.00,
    61.550,    0.00,
    61.600,    0.00,
    61.650,    0.00,
    61.700,    0.00,
    61.750,    0.00,
    61.800,    0.00,
    61.850,    0.00,
    61.900,    0.00,
    61.950,    0.00,
    62.000,    0.00,
    62.050,    0.00,
    62.100,    0.00,
    62.150,    0.00,
    62.200,    0.00,
    62.250,    0.00,
    62.300,    0.00,
    62.350,    0.00,
    62.400,    0.00,
    62.450,    0.00,
    62.500,    0.00,
    62.550,    0.00,
    62.600,    0.00,
    62.650,    0.00,
    62.700,    0.00,
    62.750,    0.00,
    62.800,    0.00,
    62.850,    0.00,
    62.900,    0.00,
    62.950,    0.00,
    63.000,    0.00,
    63.050,    0.00,
    63.100,    0.00,
    63.150,    0.00,
    63.200,    0.00,
    63.250,    0.00,
    63.300,    0.00,
    63.350,    0.00,
    63.400,    0.00,
    63.450,    0.00,
    63.500,    0.00,
    63.550,    0.00,
    63.600,    0.00,
    63.650,    0.00,
    63.700,    0.00,
    63.750,    0.00,
    63.800,    0.00,
    63.850,    0.00,
    63.900,    0.00,
    63.950,    0.00,
    64.000,    0.00,
    64.050,    0.00,
    64.100,    0.00,
